balance,day,duration,age
2143,5,261,30
29,5,151,33
2,5,76,35
1506,5,92,30
1,5,198,59
231,5,139,35
447,5,217,36
2,5,380,39
121,5,50,41
593,5,55,43
270,5,222,39
390,5,137,43
6,5,517,36
71,5,71,20
162,5,174,31
229,5,353,40
13,5,98,56
52,5,38,37
60,5,219,25
0,5,54,31
723,5,262,38
779,5,164,42
23,5,160,44
50,5,342,44
0,5,181,26
-372,5,172,41
255,5,296,55
113,5,127,67
-246,5,255,56
265,5,348,53
839,5,225,68
378,5,230,31
39,5,208,59
0,5,226,32
10635,5,336,49
63,5,242,42
-7,5,365,78
-3,5,1666,32
506,5,577,33
0,5,137,23
2586,5,160,38
49,5,180,36
104,5,22,52
529,5,1492,32
96,5,616,32
-171,5,242,34
-364,5,355,55
0,5,225,26
0,5,160,32
0,5,363,61
1291,5,266,45
-244,5,253,37
0,5,179,38
-76,5,787,34
-103,5,145,53
243,5,174,48
424,5,104,57
306,5,13,33
24,5,185,36
179,5,1778,54
0,5,138,41
989,5,812,63
249,5,164,48
790,5,391,48
154,5,357,56
6530,5,91,51
100,5,528,31
59,5,273,29
1205,5,158,41
12223,5,177,32
5935,5,258,37
25,5,172,42
282,5,154,31
23,5,291,41
1937,5,181,56
384,5,176,54
582,5,211,41
91,5,349,40
0,5,272,50
1,5,208,40
206,5,193,27
164,5,212,60
690,5,20,28
2343,5,1042,52
137,5,246,37
173,5,529,51
45,5,1467,41
1270,5,1389,35
16,5,188,38
486,5,180,34
50,5,48,39
152,5,213,34
290,5,583,27
54,5,221,32
-37,5,173,57
101,5,426,41
383,5,287,41
81,5,101,30
0,5,203,36
229,5,197,31
-674,5,257,36
90,5,124,38
128,5,229,49
179,5,55,57
0,5,400,34
54,5,197,32
151,5,190,37
61,5,21,33
30,5,514,56
523,5,849,27
31,5,194,21
79,5,144,58
-34,5,212,32
448,5,286,33
81,5,107,25
144,5,247,25
351,5,518,30
-67,5,364,22
262,5,178,39
0,5,98,46
56,5,439,31
26,5,79,45
3,5,120,32
41,5,127,36
7,5,175,51
105,5,262,34
818,5,61,24
-16,5,78,45
0,5,143,32
2476,5,579,77
1185,5,677,41
217,5,345,37
1685,5,185,43
802,5,100,48
0,5,125,27
94,5,193,33
0,5,136,29
0,5,73,34
517,5,528,52
265,5,541,60
947,5,163,32
3,5,301,32
42,5,46,56
37,5,204,31
57,5,98,42
22,5,71,35
8,5,157,56
293,5,243,48
3,5,186,46
348,5,579,37
-19,5,163,41
0,5,610,36
-4,5,2033,45
18,5,85,55
139,5,114,39
0,5,114,35
1883,5,57,55
216,5,238,55
782,5,93,27
904,5,128,34
1705,5,107,34
47,5,181,25
176,5,303,41
1225,5,558,43
86,5,270,28
82,5,228,31
271,5,99,78
1378,5,240,45
184,5,673,48
0,5,233,32
0,5,1056,42
1357,5,250,37
19,5,252,40
434,5,138,32
92,5,130,42
1151,5,412,43
41,5,179,44
51,5,19,37
214,5,458,37
1161,5,717,37
37,5,313,28
787,5,683,32
59,5,1077,34
253,5,416,40
211,5,146,34
235,5,167,34
4384,5,315,34
4080,5,140,37
53,5,346,36
0,5,562,56
2127,5,172,49
377,5,217,33
73,5,142,30
445,5,67,36
243,5,291,23
307,5,309,57
155,5,248,27
173,5,98,38
400,5,256,42
1428,5,82,75
219,5,577,34
7,5,286,48
575,5,477,35
298,5,611,39
0,5,471,29
5699,5,381,45
176,5,42,42
517,5,251,29
257,5,408,38
56,5,215,56
-390,5,287,36
330,5,216,25
195,5,366,38
301,5,210,57
-41,5,288,31
483,5,168,42
28,5,338,45
13,5,410,30
965,5,177,49
378,5,127,49
219,5,357,53
324,5,175,37
-69,5,300,49
0,5,136,41
205,5,1419,54
278,5,125,32
1065,5,213,33
34,5,27,33
1033,5,238,36
1467,5,124,35
-12,5,18,52
388,5,730,40
294,5,746,44
1827,5,121,45
627,5,247,30
25,5,40,48
315,5,181,33
0,5,79,57
66,5,206,57
-9,5,389,51
349,5,127,34
100,5,702,50
0,5,151,44
434,5,117,27
3237,5,232,50
275,5,408,36
0,5,179,42
207,5,39,32
483,5,282,42
2248,5,714,43
428,5,50,31
0,5,181,32
0,5,142,55
140,5,227,58
297,5,119,46
279,5,361,55
901,5,73,34
2573,5,67,28
143,5,350,42
475,5,332,29
70,5,611,54
318,5,113,32
275,5,132,39
742,5,58,53
236,5,151,58
25,5,89,40
600,5,152,29
-349,5,611,33
183,5,110,38
0,5,463,56
0,5,562,40
0,5,962,24
1078,5,10,46
155,5,118,35
190,5,92,35
319,5,143,34
-185,5,189,35
47,5,234,38
570,5,75,50
19,5,189,51
61,5,621,59
-62,5,55,32
258,5,310,37
76,5,156,42
0,5,5,40
352,5,225,28
368,5,125,47
339,5,2,27
1331,5,286,41
672,5,164,34
58,5,98,50
447,5,742,47
423,5,226,53
0,5,120,53
19,5,362,47
13,5,357,49
3,5,200,29
82,5,204,45
28,5,126,38
792,5,65,32
408,5,107,70
531,5,267,65
211,5,248,56
62,5,215,35
257,5,209,56
1234,5,205,56
313,5,83,49
89,5,106,38
129,5,189,35
0,5,105,38
353,5,106,49
851,5,108,55
96,5,311,43
398,5,214,43
193,5,132,25
-358,5,358,30
539,5,453,46
0,5,364,50
0,5,136,35
490,5,386,26
0,5,173,45
403,5,241,37
161,5,224,60
2558,5,148,38
98,5,196,47
115,5,111,33
436,5,231,51
831,5,316,35
206,5,216,35
290,5,240,48
1,5,669,37
57,5,425,29
-457,5,143,34
1387,5,174,32
24598,5,313,30
30,5,135,47
1022,5,146,33
56,5,152,33
-2,5,402,63
121,5,213,51
842,5,144,41
693,5,124,56
-333,5,183,60
1533,5,325,41
46,5,39,37
18,5,503,36
44,5,95,57
-100,5,680,55
510,5,421,44
685,5,174,47
187,5,113,31
66,5,808,35
560,5,198,39
0,5,195,50
27,5,347,29
12,5,208,30
34,5,404,46
1068,5,396,27
211,5,216,48
377,5,98,26
263,5,350,36
1263,6,114,42
8,6,88,50
126,6,379,49
230,6,190,45
841,6,158,23
308,6,102,38
1,6,306,32
86,6,218,60
157,6,54,30
22,6,344,58
46,6,195,60
1293,6,652,38
122,6,286,51
131,6,189,42
143,6,83,30
393,6,184,40
98,6,235,37
0,6,290,53
224,6,232,27
757,6,133,39
245,6,318,39
8486,6,260,59
350,6,437,37
20,6,402,41
1667,6,85,45
345,6,125,48
10,6,501,48
830,6,1201,32
29,6,253,35
545,6,1030,33
8730,6,149,28
477,6,114,64
4,6,243,35
1205,6,769,33
0,6,135,41
263,6,231,34
1,6,76,37
283,6,199,38
206,6,152,39
17,6,124,35
141,6,424,28
16,6,43,27
206,6,154,48
7,6,203,50
0,6,326,45
0,6,393,41
1927,6,241,39
284,6,483,44
1660,6,259,54
406,6,227,49
230,6,673,34
-25,6,576,75
182,6,180,42
1169,6,168,53
67,6,90,49
77,6,505,31
0,6,245,45
55,6,186,39
72,6,623,46
163,6,496,42
151,6,118,37
113,6,342,26
0,6,225,37
9,6,185,36
375,6,196,29
1142,6,276,36
2102,6,76,26
4325,6,87,32
217,6,195,40
131,6,744,53
1680,6,765,29
0,6,262,34
46,6,119,43
320,6,198,56
183,6,150,55
39,6,241,31
560,6,181,27
469,6,196,36
530,6,149,44
61,6,246,37
242,6,112,30
139,6,309,42
0,6,278,30
367,6,140,62
228,6,136,24
45248,6,1623,31
-84,6,101,66
310,6,144,47
132,6,238,39
797,6,354,35
71,6,79,35
2,6,187,27
231,6,451,32
270,6,159,44
274,6,409,42
-109,6,170,34
1,6,608,25
-60,6,243,40
89,6,145,43
-11,6,112,55
0,6,262,50
-509,6,124,45
408,6,53,35
58,6,134,32
1640,6,204,59
20,6,186,34
